Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
217;10.95213;3.54231;6.96246;-28.21348;38.79544;23.61296;992.25769;-15.26701;57.55517;0.48245;0;0
218;10.00172;3.27881;7.88232;-9.84191;30.12845;-1.53351;992.32404;-14.43869;51.75848;0.40057;0;0
219;8.86207;2.43141;7.32178;-2.76184;18.65385;4.3869;992.29828;-11.94267;50.43673;0.37686;0;0
220;9.52861;2.40985;8.3704;-0.4425;2.60162;14.70183;992.28021;-10.75833;48.70235;0.35163;0;0
221;9.43639;2.42662;7.89729;-0.80872;-5.39398;6.09588;992.32568;-11.15593;50.07411;0.37033;0;0
222;9.15013;1.81158;7.41461;-0.74768;7.66754;3.04413;992.33844;-8.7448;50.98119;0.37774;0;0
223;8.53629;1.97567;7.19242;-12.52746;5.89752;-4.15802;992.34827;-10.03703;49.8835;0.36552;0;0
224;6.74687;1.50975;6.42407;0.90027;1.99127;-12.70293;992.33551;-9.20526;46.40391;0.31931;0;0
225;7.19901;2.23917;6.59835;3.40271;3.15094;-10.81084;992.32251;-12.91443;47.49279;0.34141;0;0
226;11.12221;3.25845;9.89812;7.98034;-4.35638;-6.9046;992.35291;-12.3447;48.33278;0.35057;0;0
227;9.63701;3.09915;8.76805;6.02722;3.27301;-11.97051;992.36798;-13.3802;47.70311;0.34529;0;0
228;7.9991;2.82187;8.00389;-5.56945;-2.95257;0.41962;992.31171;-14.00249;44.98285;0.3137;0;0
229;8.30872;2.36853;7.09601;4.2572;-10.27679;-6.29425;992.32654;-12.23076;49.50123;0.36531;0;0
230;7.67332;2.33679;5.89946;0.10681;-15.5258;-2.69317;992.24493;-13.57309;52.44589;0.40751;0;0
231;5.45271;1.6421;4.73945;15.18248;-12.59612;-17.46367;992.24988;-12.80542;49.00307;0.3603;0;0
232;3.76629;1.09294;3.389;18.11217;-27.18351;-11.6043;992.2749;-12.17302;48.01833;0.34615;0;0
233;4.17113;1.51514;2.97878;13.90074;-31.82218;-16.79228;992.23627;-16.46793;54.46777;0.44268;0;0
